tr_loss,tr_acc,va_acc
2.287135601043701,0.2709999978542328,0.4487999975681305
2.169524669647217,0.44921818375587463,0.47439998388290405
1.9437141418457031,0.5595272779464722,0.4943999946117401
1.6923898458480835,0.6413454413414001,0.5185999870300293
1.4714996814727783,0.6729817986488342,0.5411999821662903
1.2936955690383911,0.7206363677978516,0.571399986743927
1.1525964736938477,0.7451817989349365,0.6001999974250793
1.0377309322357178,0.7682908773422241,0.6341999769210815
0.9412686228752136,0.7924727201461792,0.6527999639511108
0.8605890870094299,0.8053817749023438,0.6663999557495117
0.7905086874961853,0.8166181445121765,0.6769999861717224
0.7319012880325317,0.8276363611221313,0.6779999732971191
0.6814404129981995,0.8370727300643921,0.6761999726295471
0.6389077305793762,0.8453272581100464,0.6715999841690063
0.6023270487785339,0.8523090481758118,0.6705999970436096
0.5697144865989685,0.8591636419296265,0.6705999970436096
0.5421991944313049,0.8637818098068237,0.6732000112533569
0.5178933143615723,0.8700363636016846,0.673799991607666
0.49637162685394287,0.8737454414367676,0.6769999861717224
0.4773073196411133,0.8764181733131409,0.6843999624252319
0.46024513244628906,0.8795636296272278,0.6883999705314636
0.4458952248096466,0.8826545476913452,0.6908000111579895
0.4330776333808899,0.8863999843597412,0.6941999793052673
0.42015767097473145,0.8887454271316528,0.6997999548912048
0.4101552367210388,0.8905817866325378,0.7037999629974365
0.3996499180793762,0.8920908570289612,0.7085999846458435
0.3912007510662079,0.8940181732177734,0.7137999534606934
0.38338619470596313,0.8952727317810059,0.714199960231781
0.3760777711868286,0.8960908651351929,0.7195999622344971
0.36929211020469666,0.8978545069694519,0.7263999581336975
0.36336401104927063,0.8997454047203064,0.7289999723434448
0.3571704626083374,0.9007818102836609,0.7321999669075012
0.35224416851997375,0.9016909003257751,0.736799955368042
0.3476206958293915,0.9031272530555725,0.7371999621391296
0.3427715003490448,0.9039818048477173,0.7400000095367432
0.33856385946273804,0.9049272537231445,0.741599977016449
0.3356236517429352,0.9059635996818542,0.7453999519348145
0.33144038915634155,0.9064363241195679,0.7489999532699585
0.3280593156814575,0.9073090553283691,0.7507999539375305
0.3248006999492645,0.9082363247871399,0.7511999607086182
0.32228055596351624,0.908654510974884,0.7529999613761902
0.3194768726825714,0.9095999598503113,0.7577999830245972
0.3170281946659088,0.910490870475769,0.7605999708175659
0.314872682094574,0.9108726978302002,0.7639999985694885
0.3122730255126953,0.9110363125801086,0.7644000053405762
0.3099726736545563,0.9122726917266846,0.7651999592781067
0.30785518884658813,0.9127272367477417,0.767799973487854
0.30637067556381226,0.9129999876022339,0.7689999938011169
0.30427542328834534,0.9135090708732605,0.7691999673843384
0.3029390275478363,0.9140908718109131,0.7701999545097351
